County,FIPS,% People (Education: Less Than 9th Grade),People (Education: Less Than 9th Grade),% People (Unemployed),People (Unemployed),% People (Below Poverty),People (Below Poverty),% People (<150% Of Poverty),People (<150% Of Poverty),% Families (Below Poverty),Families (Below Poverty),% People (White),People (White),% People (Hispanic),People (Hispanic),% People (Foreign Born),People (Foreign Born),% People (Black),People (Black),% People (API),People (API),% People (AI/AN),People (AI/AN),% Households (language Isolation),Households (language Isolation),% People(Education: Less Than High School),People(Education: Less Than High School),% People (Education: At Least Bachelor's Degree)
Adair County,19001,2.1,110,4.2,162,10.3,753,21.8,1591,5,92,94.9,7091,2.9,214,1.6,120,1.4,101,0.5,34,0.4,27,0,0,5.5,287,20
Adams County,19003,2.6,68,2.9,53,9.5,339,17.7,629,3.6,35,95.4,3475,0.7,27,0.2,9,0.4,13,0,0,0.5,20,0.3,5,7.4,197,24.5
Allamakee County,19005,3,293,3.6,252,12.1,1657,19.8,2716,9.4,350,90.4,12690,8.7,1225,6.7,937,1.8,246,0.5,76,0.8,115,4.4,265,7.5,721,19.9
Appanoose County,19007,5.5,480,6.9,375,20.4,2468,31.9,3851,10.8,346,95.1,11641,1.7,212,1.2,150,1,121,0.4,53,0.1,7,1,51,10.3,907,19.3
Audubon County,19009,2.7,108,1.9,52,11.8,649,20.9,1147,7.1,109,95.2,5351,2,115,0.9,48,0.3,15,0.1,7,0.2,12,0.9,23,8,322,20.6
Benton County,19011,1.7,299,2.3,319,7.9,1979,12.6,3173,4.2,288,95.3,24484,1.9,479,0.8,205,0.4,104,0.2,51,0.1,29,0.1,10,5.3,951,24.9
Black Hawk County,19013,2.5,2111,4.8,3383,14.7,18505,22.7,28539,8.8,2713,80.4,105125,5,6579,6.4,8347,9.6,12565,3,3938,0.4,542,2.1,1131,6.7,5607,30.1
Boone County,19015,0.6,110,1.3,191,6.7,1757,12.7,3319,3.3,240,94.4,25174,2.8,754,1,275,1.3,340,0.2,46,0,12,0,0,4.3,816,28.7
Bremer County,19017,1,174,3.6,471,7.5,1767,13.6,3220,4.1,266,93.2,23406,2,502,1.6,401,1.1,283,1,258,0.1,18,0.1,13,4.1,686,35.2
Buchanan County,19019,2,279,2.7,300,7,1439,12.7,2602,4.8,268,96.4,19907,1.8,372,1.6,332,0.7,154,0.3,62,0.3,52,0.6,52,5.4,744,22.3
Buena Vista County,19021,11.3,1473,5,541,8.2,1624,22.6,4457,5.3,243,65.9,13633,28.6,5924,21.6,4463,3.1,637,12.6,2614,0.2,44,14.2,1072,19.5,2543,22.1
Butler County,19023,1.9,191,3.4,245,10.7,1500,18.5,2604,7.8,328,95.3,13632,1.6,231,2.1,307,0.2,24,1.2,168,0.1,16,1,58,6.4,651,20.4
Calhoun County,19025,1.1,77,2.8,125,8.6,791,18.3,1677,5.7,139,92.5,9118,2.5,251,0.7,71,1.5,149,0.2,22,0.1,12,0.3,10,6.3,444,21.5
Carroll County,19027,2,287,2.1,224,8.3,1693,17.7,3600,5.9,310,93.6,19347,3.2,660,1.8,363,0.8,173,0.6,120,0.3,66,0.1,10,5,700,23.4
Cass County,19029,1.2,115,1.1,76,17.4,2243,25.1,3225,13.3,464,96.1,12606,2.6,341,0.4,49,0.9,112,0.7,89,0.1,15,0,0,7,643,21.6
Cedar County,19031,1.3,175,2.9,283,7.2,1308,14.5,2610,3.9,198,95.4,17581,2.6,474,1.3,236,0.5,95,0.5,99,0.1,17,0.1,9,4.2,560,21.5
Cerro Gordo County,19033,1.8,543,2.6,590,9.4,3918,18.6,7771,5.5,612,91,38939,5.4,2331,2.1,913,2.2,957,1.6,686,0.2,74,0.2,47,5.5,1693,24.3
Cherokee County,19035,2.5,208,3,184,15.2,1717,23.4,2641,9.6,297,90.9,10535,4.8,551,3.6,414,2.2,253,0.6,67,0,0,0,0,6.9,577,21.6
Chickasaw County,19037,2.8,233,1.8,116,7.1,827,15.2,1774,5.5,177,95.4,11325,4,470,2.1,246,0.7,88,0.1,7,0.3,37,1,48,6.8,557,19.1
Clarke County,19039,3.8,245,4.1,189,13.8,1304,28.4,2694,8.3,223,85.9,8324,16.3,1579,6.1,593,0,4,0.6,56,0.1,5,0.6,25,13.9,892,16
Clay County,19041,1.1,122,4,340,11.5,1848,18.7,3024,6.6,265,94.6,15552,4.5,743,1,169,0.5,90,0.3,54,0.4,72,0.2,17,5.1,581,26
Clayton County,19043,3.8,460,2.6,221,13.6,2294,22.8,3837,7.7,350,95.9,16368,2.2,381,2.1,351,0.7,112,0.3,53,0.1,13,0.7,49,9.2,1123,15.7
Clinton County,19045,1.6,515,3.8,865,13.1,5962,22.2,10071,9.2,1128,90.3,41897,3.5,1622,1.9,880,2.9,1357,0.8,350,0.2,106,0.2,39,7.3,2364,22.1
Crawford County,19047,6.3,671,1.7,144,16.4,2635,26.2,4222,13.6,580,70.1,11418,30.1,4895,15.9,2597,1.9,304,2.2,351,0.5,88,9.7,605,16,1701,18.3
Dallas County,19049,1.6,1085,2.9,1733,5.8,6038,10,10357,4.4,1184,84.9,88381,6.7,6954,10,10394,2.5,2568,4.7,4877,0.2,185,2,804,3.9,2687,51.6
Davis County,19051,14.8,847,3.5,147,7.2,647,14.9,1340,5.5,133,95.7,8733,2,181,1.3,121,0,0,0,0,0.3,27,3.3,104,19.7,1124,17.6
Decatur County,19053,5.4,258,3.2,117,15.2,1067,26,1826,12,228,92.9,7127,3.3,250,1.9,146,1.6,126,0.5,41,0.3,22,1,32,11,523,24.3
Delaware County,19055,3,363,2.1,205,7.9,1368,17.5,3037,6.1,290,95.6,16770,1.6,284,0.2,38,0,2,0.1,14,0.1,19,0.1,10,7.8,953,19.7
Des Moines County,19057,1.5,401,3.2,609,14.1,5354,20,7564,10.4,1068,86.3,33312,3.5,1351,2.6,1006,4.2,1628,1.1,440,0.3,107,0.1,10,6,1627,23.8
