year,county,vodka_ptc,whiskey_ptc,tequila_ptc,rum_ptc,other_ptc,revenue,population,over21,propOver21,median_age,pct_male,store_count,county_1,fips,pct_less_than_9th_grade,less_than_9th_grade,pct_unemployed,unemployed,pct_below_poverty,below_poverty,pct_below_150pct_poverty,below_150pct_poverty,pct_families_below_poverty,families_below_poverty,pct_white,white,pct_hispanic,hispanic,pct_foreign_born,foreign_born,pct_black,black,pct_api,api,pct_aian,aian,pct_language_isolation,language_isolation,pct_less_than_high_school,less_than_high_school,pct_at_bachelor_degree,pct_high_school_lower,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2023,MARSHALL,0.2,0.39,0.09,0.1,0.21,496272.3100000013,40230,30041,0.7467312950534427,38.3,0.5046979865771812,24,Marshall,19127.0,7.4,1954.0,4.0,834.0,11.1,4275.0,18.7,7207.0,7.7,773.0,74.6,29835.0,23.8,9518.0,14.0,5586.0,1.9,777.0,4.3,1738.0,1.2,468.0,5.3,831.0,13.0,3440.0,33.1,20.4,False,False,False,True,False,False,False,False,False,False,False
2023,CARROLL,0.2,0.49,0.04,0.14,0.13,340056.34000000055,20512,15523,0.7567765210608425,41.7,0.5010237909516381,20,Carroll,19027.0,2.0,287.0,2.1,224.0,8.3,1693.0,17.7,3600.0,5.9,310.0,93.6,19347.0,3.2,660.0,1.8,363.0,0.8,173.0,0.6,120.0,0.3,66.0,0.1,10.0,5.0,700.0,23.4,7.0,False,False,False,True,False,False,False,False,False,False,False
2023,TAYLOR,0.27,0.48,0.03,0.09,0.13,11141.099999999999,5917,4523,0.7644076390062532,42.3,0.51529491296265,4,Taylor,19173.0,3.2,130.0,3.4,100.0,10.4,600.0,17.7,1026.0,6.6,105.0,92.1,5434.0,7.8,461.0,3.5,204.0,0.1,7.0,0.1,3.0,0.1,7.0,0.8,20.0,8.0,327.0,19.4,11.2,False,False,False,True,False,False,False,False,False,False,False
2023,KOSSUTH,0.24,0.41,0.04,0.12,0.19,166292.52000000002,14410,11248,0.7805690492713393,44.8,0.5046495489243581,13,Kossuth,19109.0,1.3,140.0,2.1,157.0,9.6,1383.0,18.5,2652.0,6.0,230.0,93.1,13608.0,4.2,612.0,3.3,480.0,0.6,87.0,0.5,72.0,0.2,30.0,1.5,97.0,5.3,552.0,15.9,6.6,False,False,False,True,False,False,False,False,False,False,False
2023,WRIGHT,0.23,0.45,0.06,0.09,0.16,67275.48999999999,12744,9412,0.7385436283741369,40.2,0.5115348399246704,18,Wright,19197.0,2.0,171.0,1.7,101.0,14.8,1867.0,26.2,3318.0,13.6,485.0,83.6,10716.0,18.7,2402.0,6.2,790.0,0.2,23.0,0.6,80.0,0.5,64.0,4.7,254.0,7.3,627.0,23.4,9.3,False,False,False,False,False,False,False,False,True,False,False
2023,CHEROKEE,0.17,0.5,0.06,0.09,0.17,71714.39000000001,11652,8980,0.7706831445245451,43.9,0.502832131822863,9,Cherokee,19035.0,2.5,208.0,3.0,184.0,15.2,1717.0,23.4,2641.0,9.6,297.0,90.9,10535.0,4.8,551.0,3.6,414.0,2.2,253.0,0.6,67.0,0.0,0.0,0.0,0.0,6.9,577.0,21.6,9.4,False,False,False,False,False,False,False,False,True,False,False
2024,JASPER,0.2,0.42,0.07,0.08,0.22,256857.34999999983,38107,29828,0.7827433279974808,41.6,0.5207442202220065,27,Jasper,19099.0,2.1,560.0,4.9,934.0,8.2,2942.0,16.8,6056.0,5.2,501.0,92.8,35155.0,2.9,1110.0,2.3,889.0,1.6,589.0,0.7,282.0,0.1,34.0,1.0,143.0,6.6,1766.0,18.4,8.7,False,False,False,True,False,False,False,False,False,False,False
2024,SAC,0.19,0.46,0.03,0.11,0.21,90184.68000000004,9533,7395,0.7757264240008392,44.6,0.5019406272946606,11,Sac,19161.0,2.8,194.0,3.4,176.0,7.9,757.0,16.5,1583.0,4.1,107.0,95.0,9267.0,4.1,398.0,3.1,303.0,0.6,54.0,1.3,128.0,0.0,4.0,1.5,62.0,7.8,541.0,25.2,10.6,False,False,False,True,False,False,False,False,False,False,False
2024,DELAWARE,0.24,0.43,0.03,0.1,0.2,116347.26000000007,17609,13613,0.7730705889034016,43.6,0.5082628201487875,12,Delaware,19055.0,3.0,363.0,2.1,205.0,7.9,1368.0,17.5,3037.0,6.1,290.0,95.6,16770.0,1.6,284.0,0.2,38.0,0.0,2.0,0.1,14.0,0.1,19.0,0.1,10.0,7.8,953.0,19.7,10.8,False,False,False,True,False,False,False,False,False,False,False
2024,WORTH,0.25,0.41,0.06,0.09,0.19,54313.05,7307,5754,0.7874640755439989,44.4,0.5096482824688655,5,Worth,19195.0,1.5,80.0,3.2,132.0,7.3,532.0,16.1,1173.0,4.5,95.0,94.7,6986.0,3.4,249.0,0.6,47.0,0.9,64.0,0.6,43.0,0.1,7.0,0.2,6.0,5.8,310.0,31.5,7.3,False,False,False,True,False,False,False,False,False,False,False
