,store,county,lon,lat,# of stores within 5 mile radius,Nearest other store (mi)
0,4829,POLK,-1.6338686862376173,0.7261573252616308,87,0.31073780457153055
30,2190,POLK,-1.633973580525662,0.7261543582019024,98,0.024184154780504064
80,2666,POLK,-1.6340074399131508,0.7278845030894043,63,0.1407961821027161
100,2699,POLK,-1.6340404266360136,0.7278588467494,64,0.1407961821027161
118,6245,POLK,-1.633374234460527,0.7283588835800964,46,0.0438359575148708
133,5245,POLK,-1.6338688607705423,0.725639486072564,86,0.5661674696753467
148,6303,POLK,-1.6335824522402902,0.7252720942650193,64,0.0511372767791985
177,6018,HARDIN,-1.6250076496252421,0.7393319431203099,3,0.11947457003820552
189,2633,POLK,-1.6335723293306286,0.725252721110322,62,0.0823532178845877
199,2636,POLK,-1.6331763141233513,0.7261344614484296,80,0.29899090240251164
233,6006,POLK,-1.636405522305391,0.7273289647884945,77,0.6859300570221106
264,2696,POLK,-1.634135198014397,0.7247741518294253,46,0.013967059440374177
273,5444,MARSHALL,-1.6215510250416671,0.7339128703257927,15,0.09189978816530009
304,4129,STORY,-1.6339606650891974,0.7334381407692504,43,0.001539930638886651
390,3695,PLYMOUTH,-1.6751151797853732,0.7471559050911502,1,0.3602341589412211
392,4617,POLK,-1.633108071749598,0.7261901374515682,79,0.29899090240251164
414,3773,LINN,-1.5997668725158254,0.7326150434940097,113,0.20237159753753337
575,2647,LINN,-1.6004913586883283,0.7335727056545791,90,0.23493683471345375
738,2552,LINN,-1.599743834169699,0.7322680720387132,89,0.03019686515992127
845,4950,LINN,-1.599616774200154,0.7326471575522465,121,0.4524104800733855
897,6233,LINN,-1.5996408597438312,0.7328274500639775,126,0.037513769350018746
933,2568,LINN,-1.599610665547772,0.7328447288235722,128,0.0070074354687379055
949,5222,LINN,-1.5996307368341698,0.7328332096505091,126,0.02116453045317551
977,5481,LINN,-1.5996087456855945,0.7328457760211234,128,0.0070074354687379055
1012,5570,LINN,-1.6001527648134413,0.732679969742184,113,0.12477702071626606
1030,5356,LINN,-1.6001552082743942,0.7328379220394895,117,0.6253744870179107
1066,6269,LINN,-1.6000674182130186,0.7323672067402266,91,0.019413880360241498
1107,2509,LINN,-1.600066720081318,0.7323808203083921,92,0.05393528753756275
1159,5999,LINN,-1.6000672436800933,0.7325218429119533,101,0.16860123848955125
1169,3890,LINN,-1.6001829590095007,0.7325639053469263,104,0.058003699113563664
1223,6332,LINN,-1.600453659576485,0.7323846600327465,90,0.41197358705103054
1320,9037,LEE,-1.59523337978377,0.706383617501161,8,3.50453797946958
1324,4190,GREENE,-1.6472009073277516,0.7335039396820505,3,0.4575653873074017
1353,2671,GREENE,-1.6471614628866564,0.7333391806006623,3,0.1399582972914611
1383,4539,GREENE,-1.6502365584957455,0.7334308103863919,0,8.932460963313796
1400,4158,CARROLL,-1.6554557910909091,0.7341840944915526,10,0.5150239092476421
1421,5563,CARROLL,-1.6556268333576045,0.7341558201576704,10,0.055990925841959215
1436,6316,CARROLL,-1.655645508380601,0.7341586126844736,10,0.055990925841959215
1526,4613,CARROLL,-1.6556650560682233,0.7341636741393044,10,0.06084744843716765
1536,5749,CARROLL,-1.6558708303870333,0.7342343599740102,10,0.1956340727748877
1562,4001,CARROLL,-1.656204027703873,0.734457447959,10,0.8716195539117123
1578,5354,SAC,-1.659644232229845,0.7377737131641294,2,3.0735642981000315
1599,4116,SAC,-1.6589647755520438,0.7383653797805555,3,0.1742728226604252
1610,5663,SAC,-1.658962332091091,0.7384093620777058,3,0.1742728226604252
1639,2200,SAC,-1.657609352854945,0.7403918815750461,3,0.6365735314318537
1718,5010,SAC,-1.6581086915539405,0.740411080196818,3,0.15297970010831272
1750,6032,IDA,-1.667571168626553,0.7414224984983487,1,0.5742029670016864
1782,3650,IDA,-1.6675706450277774,0.7415675353591895,1,0.5742029670016864
1826,010102,CHEROKEE,-1.667684964093783,0.746110801935056,5,0.248832531500146
1847,5441,CHEROKEE,-1.6676004901579864,0.7461209248447175,5,0.248832531500146
1896,4310,CHEROKEE,-1.6676949124705194,0.7462172670194276,5,0.42248630048210994
1921,2597,CHEROKEE,-1.6677078279069841,0.7463991303274854,5,0.0779116515335641
1954,4569,O'BRIEN,-1.6667702370328128,0.7499335965956991,0,9.446918149431808
1972,5819,BUENA VISTA,-1.663333683735636,0.7448250178751118,2,0.09169473622244301
1982,3749,BUENA VISTA,-1.6615661888021411,0.7446295409988883,13,0.8816945575286305
2006,2576,BUENA VISTA,-1.4022886272391983,0.7334320321168684,0,144.5456339266295
2137,5326,BUENA VISTA,-1.6615955103335749,0.7443385946125809,13,0.05194305226942059
2199,6229,BUENA VISTA,-1.6615379144682592,0.7443387691455061,13,0.00914827750931683
2253,4163,BUENA VISTA,-1.66149934269179,0.744326551840742,13,0.1139479022294144
2266,5159,CALHOUN,-1.6517593582681105,0.739998833427497,2,0.08572721125577283
2278,6262,CALHOUN,-1.6515312437348748,0.7399995315591978,2,0.5811947122822109
2279,4998,CALHOUN,-1.6532650538138058,0.7377054707903764,1,0.9654106028346675
2308,2521,POLK,-1.635921542503813,0.725559724525748,102,0.0014754714414605369
2318,4320,DALLAS,-1.6424077096029996,0.7302192300297972,10,0.21918322363126067
2525,2528,POLK,-1.6342449792243472,0.7252663346784876,75,0.5308516021430443
2649,3696,POLK,-1.6342462009548235,0.7249755628251054,69,0.4325521196188947
2694,2527,POLK,-1.6341304856254166,0.7247741518294253,46,0.010863268454503597
2804,2561,POLK,-1.6344127053654638,0.7250577678328743,74,0.011746589464992074
2896,5533,POLK,-1.6344123562996136,0.7250972122739694,74,0.13612224262011197
2914,4068,POLK,-1.6354316285827781,0.7255466345563579,117,0.021151699455483116
2958,4594,POLK,-1.6354180150146127,0.7255309265930899,115,0.07411602669965968
2978,5347,POLK,-1.6366109475583508,0.7255736871597639,94,0.08389500647227781
2995,6046,POLK,-1.6359773406799991,0.7254591935608331,98,0.42947870967413765
3020,4371,POLK,-1.6366559770530524,0.7253324826571382,79,0.09785208313214501
3030,2698,POLK,-1.6366446324129142,0.7253556955361898,81,0.037669208449853504
