,Store Number,Store Location,lon,lat,# of stores within 5 mile radius,Nearest other store (mi)
0,5245,POINT (-93.61379 41.57608),-1.6338688607705423,0.725639486072564,86,0.5661674696753467
1,6303,POINT (-93.59738 41.55503),-1.6335824522402902,0.7252720942650193,64,0.0511372767791985
3,2190,POINT (-93.61979 41.60558),-1.633973580525662,0.7261543582019024,98,0.024184154780504064
4,2699,POINT (-93.62362 41.70324),-1.6340404266360136,0.7278588467494,63,0.1407961821027161
5,2636,POINT (-93.57411 41.60444),-1.6331763141233513,0.7261344614484296,80,0.29899090240251164
7,6018,POINT (-93.10608 42.3606),-1.6250076496252421,0.7393319431203099,3,0.11947457003820552
8,2666,POINT (-93.62173 41.70471),-1.6340074399131508,0.7278845030894043,62,0.1407961821027161
12,4829,POINT (-93.61378 41.60575),-1.6338686862376173,0.7261573252616308,87,0.31073780457153055
19,6006,POINT (-93.75913 41.67288),-1.636405522305391,0.7273289647884945,73,0.6859300570221106
22,6245,POINT (-93.58545 41.73189),-1.633374234460527,0.7283588835800964,45,0.0438359575148708
26,2633,POINT (-93.5968 41.55392),-1.6335723293306286,0.725252721110322,62,0.0823532178845877
76,2696,POINT (-93.62905 41.5265),-1.634135198014397,0.7247741518294253,46,0.013967059440374177
272,5010,POINT (-95.00263 42.42243),-1.6581086915539405,0.740411080196818,3,0.15297970010831272
273,6125,POINT (-90.18057 41.86701),-1.5739478678252228,0.7307171724653911,17,0.0899625753463899
277,2647,POINT (-91.7014 42.03062),-1.6004913586883283,0.7335727056545791,87,0.23493683471345375
278,5656,POINT (-90.34437 41.6112),-1.5768067171399893,0.7262524457058644,6,0.5493971821960296
279,2665,POINT (-93.85433 41.61507),-1.6380670757532898,0.7263199899479167,57,0.001549769224504987
281,2648,POINT (-93.77293 41.56036),-1.6366463777421663,0.7253651203141506,79,0.037669208449853504
282,4204,POINT (-90.21136 41.86045),-1.5744852547019117,0.7306026788664604,17,0.07745086957387325
284,3664,POINT (-93.21834 43.44374),-1.626966956243531,0.7582363023803613,1,0.17545238392249154
285,4694,POINT (-90.63136 41.5617),-1.581815637560288,0.7253885077261273,62,0.03136685287073761
288,2663,POINT (-93.739 41.62934),-1.6360541875269647,0.7265690484321762,131,0.09606692318494249
292,2200,POINT (-94.97402 42.42133),-1.657609352854945,0.7403918815750461,3,0.6365735314318537
293,5198,POINT (-90.56172 41.52491),-1.580600190269199,0.7247464010943185,80,0.7873074228788265
294,2806,POINT (-90.18489 41.85867),-1.5740232660489089,0.7305716120057748,17,0.2008683837682782
298,4320,POINT (-94.10303 41.83848),-1.6424077096029996,0.7302192300297972,9,0.21918322363126067
300,4132,POINT (-90.25735 41.78853),-1.575287931624904,0.7293474380684261,9,0.09598176044735415
302,2614,POINT (-90.55073 41.55678),-1.580408378584405,0.7253026375269293,84,0.019279658475708762
